plate	Well	Gen550_s_scaled	Gen1410_s_scaled	Gen5150_s_scaled	Gen10150_s_scaled	Gen70_s_scaled	Gen2640_s_scaled	Gen3630_s_scaled	Gen7530_s_scaled	platewell	contam	strain	genes_w_nonsyn_muts	focal
P2	D03	-0.03938000274859385	-0.028672639874443337	-0.0060401302322814964	0.01976440341767393	-0.09856169462920666	-0.011343933598688	0.0015121577105501145	0.0072766205341228095	P2D03	No	a	RTG3;COS111;AAD3;IPF1;SEC7;PRP42;RPO41;RSC8;ADE6;GPI16;SMC4;STE11;LEU3;BNI1;YNR065C;MSF1;TAF2;BRR2;CCH1;PHO81;FAS1;ESL2;REA1;RRN5;HDA3;BPH1;MGM1;DOG2;PDR5;GPB1;PEP1;ACH1;YBR225W;BIK1;NFS1;LDB17;YCK3;BUD4;SGD1;SRC1;MSS11;YMR221C;CDS_XIV_519665_520969;SIA1;RPA190;FHL1;IRA1;COS7;EBS1;MSN5;EAF1;SSN2;SPS2;ESL1;DAL81;SPT2;MON1;TWF1;PPT1;LAA1;ACO2;SRS2;UTH1;YLR278C;TRE1;YBR053C;TBS1;YIL067C;SHM2;TRS130;NVJ2;MDS3;SLH1;RPF1;SCP160;PRY3;CHA4;EPO1;YNR021W;CYC3;SMC1;NUT1;SWI3;FRE2;PRP16;CSF1;PAH1;GDE1;RLM1;YDR262W;DAN4;PAU20;YDR514C;PMD1;YMD8;FRE1;YNL092W;HBT1;ATG20;POG1;STR3;ATG1;PSD2;TRA1;GUF1;NTE1;YPR148C;SKI3;DNA2;SDH1;BRX1;MAK32;SUC2;MLP2;YOS9;IES1;HIR3;KAR1;LYS2;RNH202;PDR1;EMP70;SHE4;APE3;ARP10;BNA7;CAB1;CIC1;TAH11;UFD4;ECM9;HRD3;PRC1;SIN3;TEA1;RAD16;CWC23;YSH1;AQR1;ZNF1;BAS1;RFC5;SSL2;NUP100;TUS1;MET18;YJL181W;MFB1;FAT3;TOP2;TGS1;RPL33A;YPL142C;PDR3;VID30;YGR016W;ULS1;PLC1;NAS2;YGR130C;ERG8;GTT3;BCK2;BIR1;SEN1;STU1;TUP1;SUB2;PRO1;ILV1;HXK1;HSV2;SAY1;HXT4;LSB6;YHC3;HFL1;TMN3;NUP145;OCA5;SKM1;RVB2;YPS5;YAL037W;KHA1;SLX4;BUL1;CHS1;YHL008C;YOR342C;NIP1;SGT1;PPN1;PCM1;FCY2;NCL1;MET8;MCX1;POP4;MAL32;ATG22;GFD2;YCL002C;RDI1;YDL129W;PSA1;UBC5;YDR124W;HTB1;LYS4;PEX10;PFU1;YFT2;ARH1;STP1;COA1;YIL156W-A;OM45;PFK26;DAL4;YEF1;GCD11;ICL1;ARG5,6;SSA4;YFL013W-A;ARO8;YGL185C;SRM1;YGL082W;RPL11B;ECL1;ZUO1;GPA1;ERG9;NUC1;MCO6;ISA1;AAT2;YPS3;CKI1;YLR236C;KAP95;ALD2;YMR194C-A;DML1;EMW1;RIM21;BSC4;PDR17;NOP13;YNL144C;NCE103;MRPL50;BSC5;VPS68;RRP6;YVC1;GCY1;YRR1;HES1;KES1;ELP3;RGL1;NCR1;YPR015C;SRO7;YPR064W	True
P2	D04	-0.00024467965480648793	-9.57658669236399e-05	-0.00110969698154246	0.0014501425032725865	0.0011871960369726653	0.0020123263914721664	-0.0045327361573731795	0.0013332137289283495	P2D04	blank	blank		False
P2	D05	-0.039099564870018325	-0.015533020219025178	0.0066943886360597725	0.033579276134312164	-0.09503603586301933	0.008163035644564026	0.01630569230393712	0.037131107014433236	P2D05	No	a		False
P2	D06	-0.052120178815038457	-0.02306734566933257	0.012750511555394462	0.042813466127042635	-0.09097235505008024	-0.007729584674287809	-0.0028036533201251453	0.032941693950401245	P2D06	No	a	EHT1;WHI4;SYO1;CSE1;ADE6;ADE3;MNN4;MLP1;NAT4;BNI1;ARE2;STE4;FLO1;DUR1,2;DOP1;ADR1;CCH1;MYO1;ALY2;TOR1;FAS1;ESL2;REA1;YLR162W-A;PDI1;DSN1;ASH1;GCV1;SUP35;YSP2;TRS120;SGD1;SKI2;DAT1;TOF1;POL2;YPL272C;SEC8;DRS2;ESL1;DAL81;AFT1;FYV8;LAA1;SRS2;RGR1;DIP2;KAR5;FRT1;TRE1;SYT1;YPR117W;TUB2;ETR1;NRG2;UBR1;DAP2;BCH2;CHA4;CRN1;FMS1;ESC1;NOC2;TYE7;FAS2;GET2;CSF1;PBA1;ILV5;TPS3;SIN4;VHC1;ESP1;YMR173W-A;DDR48;SYP1;USO1;NAB6;SVL3;SWI4;DPH6;INP53;URN1;PEX3;YDR509W;NTE1;STB2;FUS2;KRE1;BAG7;GCN1;ENT2;ROT2;CCT2;AIM9;PRP8;SKI7;MSC6;YOS9;YJU3;COX10;NGR1;MTC5;AVL9;CTF13;VPS54;PHO8;MCM10;PDA1;CRH1;ECM27;STR2;ECM9;MHT1;YLR108C;HRD3;SST2;YML082W;UME1;YBR285W;TPN1;YSH1;SIR3;SLA2;GDT1;RRT12;SAN1;TRL1;MET18;SPC105;TAF1;RPB2;SLA1;PDR3;LRP1;PTC5;SSP1;THI20;STU1;SUB2;KAP120;ADH5;YEN1;TMN3;KIP2;PYC2;ARK1;CIN1;SNZ3;RPL18B;BDH1;HXT15;SPO12;MTR4;CAT2;CHS1;ASN1;KRS1;ARP9;TCB2;ERT1;SIP1;CLN1;NIP1;RTG2;ARP4;MGR1;NEO1;COX23;ZDS2;FET3;TRP3;RIM21;CDC19;YAR066W;YPK3;CDS1;NPL4;LRG1;YDR034W-B;ARO3;URC2;YDR521W;FDC1;ECO1;RAD54;COQ8;YGL072C;VHT1;ROM1;YGR079W;YGR111W;BTN2;SER2;YGR237C;YAP1802;ARN2;YHL019W-A;APM2;DOG1;REC104;YHR214W;HSP150;DPI8;GSM1;MRPL8;NTA1;MRPL38;YKL169C;ELM1;SPT23;KNS1;PCD1;MID2;VPS33;POB3;UNG1;GLO1;PGM2;TIF34;YMR155W;CLA4;YSF3;YNL134C;INP52;LRO1;NRM1;PHO91;PET127;MCP1;TKL1;KAR3;ARR3	True
P2	D07	-0.057615515639707814	-0.06777024263255528			-0.05179690879552225				P2D07	blank	blank		False
P2	D08	-0.0387538982218701	-0.04503848164965714	-0.024423273834440668	0.03815580245255905	-0.037236441258358205	-0.03837441087733507	-0.039545081345250165	0.01280210473266076	P2D08	No	diploid	TOM1;GIN4;HXK2;DYN1;YOL075C;ATG40;SLY1;YIA6;DSF1;NUP188;ADE4;SWA2;SWI5;HFD1;TYW1;URA2;UTH1;PDE2;TRS130;CAF130;RSF1;YMR317W;YSP3;GDE1;PUF4;DAN4;MYO3;TAF12;DUN1;ATG1;GCN1;SLD2;AIP5;EGT2;PAF1;HRD3;YNL095C;ZRT1;SWE1;RPB2;TRM732;PIG2;MNN5;AHK1;AVO2;YKR018C;CAM1;FUN12;DBF2;RAV1;PUS4;SPT5;PEX6;YHR202W;PUS5;SMA1;TSC11;SGT1;EAR1;YLR283W;PSA1;EMW1;FUN14;TOD6;MED8;SOL2;YDR131C;PRP3;VAB2;MAG1;YCK1;OPI3;YLR036C;YMR046W-A;PDS5;DSC2;GSH2;CMK2;CSI2;ENV9	True
P2	D09	-0.03784916935490952	-0.042248578669278544	-0.003869723094760692	0.04403102550673549	-0.0497609577504578	-0.0408976810437	-0.016116442234111482	0.041203235991895064	P2D09	No	diploid		False
P2	D10	-0.041169369577171225	-0.04202601796933028	-0.004837583631241474	0.035963731698316875	-0.041561062929010864	-0.02053868306239353	-0.0048875127248280475	0.022357651024687918	P2D10	No	diploid		False
P2	D11	-0.031084860785340368	-0.022810148136479396	-0.004579815187997225	0.03658117952741823	-0.059415161644838586	-0.0042228069215453695	0.0040526214663810815	0.03295615959244078	P2D11	No	alpha	HIS1;ADE5,7;MNL2;VPS15;CDC39;INP51;TOR1;CRS1;NUP188;ADE4;DSL1;SUP35;MTC4;CYM1;FAR10;AVT4;CDS_IV_981252_982544;MSN5;PPT1;URA2;MBR1;UBP3;MDS3;NFT1;DIA3;TPS3;RIA1;ECM32;YLR416C;NAB6;PRM7;PMA1;NMA111;GDS1;MCA1;MRK1;TUL1;YBR113W;THI4;RGP1;NPR1;SMF1;BRE4;VRP1;FKS3;NEW1;YOL107W;LEU5;LCB1;TGS1;INO80;SMA2;TIF4632;DOT1;LCB3;HIS4;PTC6;SES1;TRP2;NCP1;GAP1;ADE16;SFP1;YFR018C;GTS1;VPS53;SFL1;RIF1;SPB1;ALG5;CDC1;PTM1;SSA1;CLB1;NIP100;FIN1;NEO1;YCR023C;SDS23;ZUO1;SRO7;YAP1802;GAL7;MIS1;TAH1;SWF1;CDS_IV_981252_982568;HXT6;CIN10;AIM20;ICE2;RTT105;HIS2;ERJ5;YGL242C;CWH41;TFC4;UTP22;SMF2;YHR125W;SNU114;YKL068W-A;RPL8B;YLL044W;CDS_XII_112848_115994;SUB1;MSG5;MDH2;ATX2;RDL1;PEP4;VPS28;CLB5	True
P2	D12	-0.040930504117217145	-0.05841789830180731	0.03526956960835472	0.06011739817566386	-0.04086257986981291	-0.02927585820990658	-0.014147125958777337	0.06485030771792696	P2D12	No	diploid		False
