	gene	pops
10	nan	P2F11;P2F11;P2F11;P2B09;P2B09;P2B09;P2B09;P2B09;P2F02;P2F02;P2F02;P2F02;P2F02;P2F02;P2F02;P2F02;P1C05;P1C05;P1C05;P1C05;P1C05;P1C05;P1C05;P1C05;P1C05;P2G08;P2G08;P2G08;P2G08;P2G08;P2G08;P2G08;P2C10;P2C10;P2C10;P2C10;P2C10;P2C10;P3D09;P3D09;P3D09;P3D09;P3D09;P3D09;P3D09;P3D09;P3D09;P3G05;P3G05;P3G05;P3G05;P3G05;P3G05;P3G05;P3G05;P3G05;P1C11;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P1C06;P3G02;P3G02;P3G02;P3G02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P1C02;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P2D03;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P3G06;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P2C04;P1G09;P1G09;P1G09;P1G09;P3G11;P3G11;P3G11;P3G11;P3G11;P3G11;P3G11;P3G11;P3B07;P3B07;P3B07;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P3B10;P1F10;P1F07;P1F07;P1F07;P1F07;P1F07;P1B11;P1B11;P1B11;P1B11;P2B04;P2B04;P2B04;P2B04;P2B04;P2B04;P2B04;P3F11;P3F11;P3F11;P3F11;P3F11;P3F11;P1B02;P1B02;P1B02;P1B02;P1B02;P1B02;P1B02;P1B02;P1B02;P1B02;P3C07;P3C07;P3C07;P3C07;P3C07;P3C07;P3C07;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P2G05;P3C10;P3C10;P3C10;P3C10;P3C10;P3C10;P3C10;P3C10;P3C10;P3C10;P1C08;P1C08;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P3C03;P1G10;P1G10;P1G10;P2G11;P3C04;P3C04;P3C04;P3C04;P3C04;P3C04;P3C04;P3C04;P3D03;P3D03;P3D03;P3D03;P1G04;P1G04;P1G04;P1G04;P1G04;P1G04;P1G04;P1G04;P3D10;P3D10;P3D10;P3D10;P3D10;P3D10;P2B10;P2B10;P2B07;P2B07;P2B07;P2B07;P1E11;P1E11;P1E11;P3F05;P3F05;P3F05;P3F05;P3F05;P3F05;P3F05;P3F05;P3F05;P1G05;P1G05;P1G05;P1G05;P1G05;P1G05;P1G05;P1G05;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P3D11;P1D09;P1D09;P1D09;P1D09;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3D02;P3C05;P3C05;P3C05;P3C05;P3C05;P3C05;P3C05;P3C05;P3C05;P3C05;P3C05;P2G10;P2G10;P2G10;P3E08;P3E08;P3E08;P3E08;P3E08;P3E08;P2B11;P2B11;P2B11;P2B11;P2F09;P2F09;P2F09;P2F09;P2F09;P2F09;P2F09;P2F09;P2F09;P2F09;P2F09;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B04;P1B03;P1F08;P1F08;P1F08;P1F08;P1F08;P1F08;P1F08;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P1E04;P3F07;P3F07;P3F07;P3F07;P3F07;P3F07;P3F07;P3F07;P3F07;P3F07;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2B05;P2E11;P2E11;P1H11;P1B07;P1B07;P3B08;P3B08;P3B08;P3B08;P3B08;P3B08;P3B08;P2E06;P2E06;P2E06;P2E06;P2E06;P2E06;P2E06;P2E06;P2E06;P2E06;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P3F03;P1G11;P1G11;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3D05;P3G09;P3G09;P1C09;P1C09;P1C09;P3C11;P3C11;P3C11;P3C11;P3C11;P3C11;P3C11;P3C11;P2D08;P2D08;P2D08;P2D08;P2G04;P2G04;P2G04;P2G04;P2G04;P2G04;P3G10;P3G10;P3G10;P3G10;P3G10;P3G10;P3G10;P3G10;P3G10;P1G08;P1G08;P2C05;P2C05;P2C05;P2C05;P2C05;P2C05;P2C05;P2C05;P2D11;P2D11;P2D11;P1C07;P1C07;P1C07;P1C07;P1C07;P1C07;P1C07;P2D06;P2D06;P2D06;P2D06;P2D06;P2D06;P2D06;P2D06;P2D06;P3F09;P3F09;P3F09;P1F11;P1F11;P1F11;P1F11;P1F11;P3B11;P2E08;P2E08;P2E08;P2E08;P2E08;P2B08;P2B08;P2B08;P2B08;P1E09;P1E09;P1F05;P1F05;P1F05;P1F05;P1F05;P1F05;P3E11;P3E11;P3E11;P3E11;P3E11;P3E11;P3E11;P2F07;P2F07;P3E02;P3E02;P3E02;P3E02;P3E02;P3E02;P3E02;P3E02;P3E02;P2C06;P2C06;P2C06;P2C06;P2C06;P2C06;P2C06;P2C06;P2C06;P2C06;P2C06;P2C11;P2C11;P2C11;P2C11;P2C11;P2C11;P1D03;P1D03;P1D03;P1D03;P1D03;P1D03;P1D03;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2C02;P2G09;P2G09;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04;P1C04
11	ARC1	P2F11;P1F08
12	PIB2	P2F11;P1C02;P1B04;P1C09
13	PDC6	P2F11;P1E09
14	PRE9	P2F11
15	XKS1	P2F11;P3D05
16	RTA1	P2F11
17	GPI1	P2F11;P2G10;P2C06
18	ERV29	P2F11;P3G06;P3G11;P3C10;P1G10;P3D03;P1G04;P3F05;P3D02;P3E08;P3B08;P3E11;P3E02
19	AAP1	P2F11;P1C04
