plate	Well	Gen70_s_zeroed	Gen550_s_zeroed	Gen1410_s_zeroed	Gen2640_s_zeroed	Gen3630_s_zeroed	Gen5150_s_zeroed	Gen7530_s_zeroed	Gen10150_s_zeroed	platewell	contam	strain	genes_fixed_10K	focal
P1	F10	0.0020431285239884693	0.03888677117472775	0.0883612145684426	0.17526758118846075	0.17849614495794602	0.20751086511405012	0.2356760275452839	0.23279767578735924	P1F10			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	F11	0.17281740105432708	0.17159370287450684	0.17940270697207206	0.2019017912036104	0.22108518378999384	0.2155435094228447	0.23408654815391394	0.23153068388929476	P1F11			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	F12									P1F12				False
P1	G01	0.13908231270711846	0.15006153599772207	0.17684057916638188	0.20293735848361025	0.21774805291756816	0.21896208633848674	0.2499749671948081	0.24143696383933905	P1G01				False
P1	G02									P1G02				False
P1	G03									P1G03				False
P1	G04	0.12900591978955953	0.1588745704406796	0.1666507066219195	0.1918803884053312	0.2102312233910464	0.20511925761381072	0.22268499738783512	0.22168048128093867	P1G04			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	G05	0.12493660719798592	0.14153871344624727	0.18822941468261906	0.2044319390190874	0.21956148599162464	0.22324890020287647	0.24451371220082616	0.2402797448767228	P1G05			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	G06									P1G06				False
P1	G07	-0.010241920730165194	0.03540847533090627	0.07708000645161386	0.13338638165566155	0.11394309240280355	0.1892251148137275	0.22380532843726453	0.2276965822204564	P1G07				False
