plate	Well	Gen550_s_scaled	Gen1410_s_scaled	Gen5150_s_scaled	Gen10150_s_scaled	Gen70_s_scaled	Gen2640_s_scaled	Gen3630_s_scaled	Gen7530_s_scaled	plate.well	contam	strain	Genes_fixed_10K	focal
P3	G02	-0.05629746388681275	-0.007333925336194709	0.06492002223613885	0.12862868594785448	-0.11540052784012148	0.014683432437943041	0.04431376778394887	0.10234706932554133	P3G02	No	a	R0020C:OAF1:SWH1:NUP170:FUI1:SCT1:nan:LRE1:FUS1:MRPL32:ADP1:nan:PMT5:AHK1:BAP3:PDC2:nan:FOB1:HOM2:SEC7:CDS_IV_802984_804306:HMO1:TCP1:SIR4:AMD2:MRX10:DPL1:HDA2:SBE2:CAD1:PKH3:MET30:FLO11:ZRG8:HIS1:ALD5:NUP157:BCK2:ZNF1:EPL1:RPL2A:ADE5,7:STT3:PMC1:PTI1:BIO2:VMR1:DAP2:NCP1:nan:YHR084W;YHR084W:HXT5:RPB4:LCB3:IME2:MNN4:KKQ8:BUD2:SFK1:RGT1:MCO12:PRP16:FRE6:FRE6:PUF3:REX3:GSY2:GCD7:TAD3:ADE13:DCR2:SFP1:INA1:ERO1:FET3:CTF18:CEP3:RKR1:ADE4:WHI3:YGP1:DBP2:HDA1:MRP7:MSH2:ESC8:SIN3:SIN3:DED1:STE4:MYO2:TFB6:TYW1:HOS3:ATG11:AOS1:SEC23:GDB1:SGE1	True
P3	G03	0.021000975327632843	0.03583501507189374	0.07570079324975179	0.1380254210468421	-0.15299505979027372	0.04743617462674001	0.07877493874474986	0.10500656054138584	P3G03	No	a		False
P3	G04	-0.015191873761837815	0.010849657103534506	0.0487531134466241	0.1037303235331536	-0.16145233862256064	0.024988917108221702	0.058379612141690476	0.0736553729009771	P3G04	No	a		False
P3	G05	-0.0830386969566062	0.0012933758683248279	0.02451732477895476	0.10212375888779276	-0.09569039110595944	0.022196440820743586	0.05267947014140867	0.07376224295856386	P3G05	No	a	R0020C:R0020C:CDC24:CLN3:BUD14:ILS1:AAR2:TOD6:CHS3:nan:RIF1:APE3:LEU2:RRT12:RDS1:CLB3:RAM1:SIR2:MRX9:DNF2:nan:SIZ1:nan:CDS_IX_29031_29414:FLX1:ASG1:SEC24:nan:YVH1:PXP1:YAT2:GIP2:SHO1:SPT2:BRR2:COS4:CSE1:GCN1:nan:CEG1:AFT1:nan:ADE6:PEX8:KSP1:KSP1:SET5:RPL17B:YUR1:TIF2:LCB3:ARG2:UBX6:IME1:JHD2:nan:nan:MNN4:nan:YJU3:URB1:RPC37:YBT1:HSP104:FMP25:THI7:CTF3:HMG2:COQ5:POB3:CLU1:CDS_XIII_373093_377055:ISF1:INP1:ESC1:TAF7:TRI1:RSN1:NIP1:NIP1:CHS1:FKH2:LAP2:PPG1:AVO1:DBP5:YRM1:FRE3:GYP5:MMT2:MRN1:RRD2:TFB4:KAR3:NCE102:CUR1	True
P3	G06	-0.03627624311418017	0.00832909706512655	0.08941378421698404	0.1450692657435538	-0.06229572629574912	0.06113228132365835	0.09410394371349903	0.12014102615506494	P3G06	No	a	R0020C:nan:nan:SRO77:CDS_II_29934_31226:SKT5:APL3:HMT1:CHS2:FMP23:MEC1:RPB5:COS111:nan:ALG7:SPS22:HIS4:DCC1:OCA4:UFD2:nan:POL3:BAP3:YOS9:RLI1:APC4:PEX7:PEX10:YCG1:nan:PAL1:YPQ2:ECM11:ADA2:RMT2:CWC21:ESL1:SGA1:SEC6:CDS_IX_437043_437735:YEA6:HIS1:BEM2:BCK2:AQY3:RIM15:GAT1:RSC8:ADE5,7:SKI8:SPT16:MCM6:IME4:TPN1:PMC1:nan:nan:ADE3:nan:ERV29:VMR1:nan:OSH7:nan:SMF2:RRP3:KSP1:ARO9:nan:NVJ1:OPT1:HSP150:YUR1:LCB3:UTP10:SRS2:NET1:PSF2:nan:GPI14:MNS1:COS5:MCH2:CBT1:FAS1:TPO5:ABF1:BUD2:RSC4:IRS4:RPF2:HSP104:YLR141W;YLR141W:PEX13:HMX1:THI7:CDC3:RPP0:KAP95:STE11:LEU3:NGL3:NGL3:ARG81:UTP14:TCB3:DAK1:SDD2:PDS5:NAM7:ALD3:MMT1:HXT14:ATP11:MET2:IPI3:CPT1:INP52:RTC1:WSC3:IRA2:ARG1:SIN3:RPL33B:LDB19:PDR10:RPA190:PUS1:NAB3:ODC1	True
P3	G07	-0.026235856416278285	0.02001928197911692	0.04368725309690512	0.13475654219119376	0.001079765550840349	0.01825809155262014	0.050556452006442786	0.08660374167391165	P3G07	No	diploid		False
P3	G08	-0.0011193867137915328	0.040223462021035175	0.11391277478580487	0.17905056804199304	-0.017261209835407257	0.042148366420806896	0.0787045488899398	0.1393334242729513	P3G08	No	diploid		False
P3	G09	-0.014169383798965832	0.016207399563461143	0.1069696371430183	0.16802331545609758	-0.022391381257395086	0.03593422432013474	0.053994662228642167	0.13677806234760465	P3G09	No	diploid	R0020C:R0020C:MAP2:MAP2:VPS15:ISW1:PAU3:nan:DBP10:CDC7:CDC34:TPS2:SUR2:BNR1:CAB2:GLC7:HXT10:ADE5,7:PRP43:YGL014W;YGL014W:OKP1:SER2:MAL12:SBP1:GUT1:DUR3:SRS2:RRP14:CCW12:CCW12:CCW12:CCW12:ACS2:SFP1:YPT7:SEN15:nan:ABZ2:MCK1:FAR11:HRB1:HXT11:MED7:PKH2:SIN3:AUS1:AFI1:RUP1:ISN1:MED4:ULS1:PIP2	True
P3	G10	-0.027779189207277337	0.013019407097865657	0.10343644270103622	0.13962907238176306	-0.02235380491236241	0.03900265137995119	0.08877938934386535	0.12554097889915206	P3G10	No	diploid	R0020C:R0020C:FLO9:ACS1:SYN8:nan:STU1:NCL1:SCT1:MEC1:ADH5:DUG2:CDS_III_2824_3750:PBN1:FIG2:GDH2:nan:nan:MTC5:YCF1:RVB1:RTN1:PEX5:ZIP1:HIM1:SHE9:MRP20:CYM1:STP1:VPS3:ITR1:BNR1:MLP2:SDP1:HPM1:nan:PRB1:RPL12A:FRD1:VAC8:SPC25:FCY21:PEA2:FRS2:ADE5,7:CDC43:RMD9:nan:nan:nan:MDR1:PCT1:YAP1802:MIP6:PRP8:LCB3:TAH11:UTR1:MIR1:TMH11:PXP2:JHD2:PTM1:HEL1:nan:TRZ1:HSP104:SUL2:CCW12:CSC1:YLR451W;YLR451W;YLR451W:ARG81:YOX1:PEX9:ATP25:MUB1:nan:RGM1:GYL1:UBP15:RPD3:BNI1:PIK1:PIK1:RIO2:KAR1:SPC98:YNL030W;YNL030W:NOG2:ENB1:SDH5:GAL11:SIN3:SGO1:DCS2:RPT4:SNU66:FIT2:PHR1:IQG1:PXA1:VPS16	True
P3	G11	-0.058094487095976026	0.0038376722547012257	0.058716412701588186	0.09988277120067096	-0.15677465205494584	0.023025960478916245	0.04006841191644131	0.06695623626412832	P3G11	No	alpha	R0020C:R0020C:ACS1:PSK1:PKC1:FUI1:RCR1:CYC8:nan:DUG2:STP22:ADP1:HTL1:ADY3:CBS2:EBS1:HXT3:HXT3:SVF1:ESF1:SDH6:ATO3:HKR1:HKR1:TIF35:PRP3:URC2:KTR7:PAN1:NUP157:NUP157:SPT2:nan:SLD3:SNU71:nan:ADE6:NNF2:CAF130:SLI1:ERV29:MYO1:SSZ1:STE12:CRP1:SKG6:RTT107:URB2:MNN14:HIR3:HSL1:nan:LHS1:CSE4:ANR2:PUT3:nan:SDO1:PER33:KIN2:PEX30:AFG2:MAC1:JLP2:CAT8:EMW1:MRX6:nan:UBP10:INP52:FKH2:SLM2:nan:nan:CTR9:SDD3:YNG1:NFI1:PDR10:PDR10:SAM3:RVB2:FAS2:FAS2:KIP2:SGV1	True
